session_id,player_id,session_start,session_end,duration_seconds,session_number,days_since_install,days_since_last_session,app_version,crashed
s_p_002797_00060,p_002797,2024-03-10T06:35:03Z,2024-03-10T06:50:43Z,940,60,69,0,3.5.0,0
s_p_002797_00061,p_002797,2024-03-10T18:56:20Z,2024-03-10T19:06:55Z,635,61,69,0,3.9.2,0
s_p_002797_00062,p_002797,2024-03-11T11:23:36Z,2024-03-11T11:37:34Z,838,62,70,0,3.8.0,0
s_p_002797_00063,p_002797,2024-03-14T17:01:33Z,2024-03-14T17:34:57Z,2004,63,73,3,3.7.1,0
s_p_002797_00064,p_002797,2024-03-16T08:06:41Z,2024-03-16T08:37:23Z,1842,64,75,1,3.8.0,0
s_p_002797_00065,p_002797,2024-03-18T20:22:35Z,2024-03-18T20:46:14Z,1419,65,77,2,3.7.1,0
s_p_002797_00066,p_002797,2024-03-18T20:59:47Z,2024-03-18T21:25:28Z,1541,66,77,0,3.7.1,0
s_p_002797_00067,p_002797,2024-03-21T09:38:53Z,2024-03-21T10:01:13Z,1340,67,80,2,3.7.1,0
s_p_002797_00068,p_002797,2024-03-27T18:13:19Z,2024-03-27T18:43:29Z,1810,68,86,6,3.9.2,0
s_p_002797_00069,p_002797,2024-03-29T12:45:17Z,2024-03-29T13:21:38Z,2181,69,88,1,3.6.0,0
s_p_002797_00070,p_002797,2024-03-30T19:20:19Z,2024-03-30T19:45:49Z,1530,70,89,1,3.9.2,0
s_p_002797_00071,p_002797,2024-03-30T21:26:35Z,2024-03-30T21:38:17Z,702,71,89,0,3.8.0,0
s_p_002797_00072,p_002797,2024-04-01T06:59:06Z,2024-04-01T07:19:01Z,1195,72,91,1,3.9.2,0
s_p_002797_00073,p_002797,2024-04-01T18:21:10Z,2024-04-01T18:54:06Z,1976,73,91,0,3.7.1,0
s_p_002797_00074,p_002797,2024-04-03T06:56:22Z,2024-04-03T07:35:13Z,2331,74,93,1,3.5.0,0
s_p_002797_00075,p_002797,2024-04-03T12:11:25Z,2024-04-03T12:22:04Z,639,75,93,0,3.7.1,0
s_p_002797_00076,p_002797,2024-04-04T09:48:51Z,2024-04-04T10:21:04Z,1933,76,94,0,3.8.0,0
s_p_002797_00077,p_002797,2024-04-05T16:54:53Z,2024-04-05T17:05:29Z,636,77,95,1,3.8.0,0
s_p_002797_00078,p_002797,2024-04-06T17:08:09Z,2024-04-06T17:32:01Z,1432,78,96,1,3.6.0,0
s_p_002797_00079,p_002797,2024-04-08T09:05:03Z,2024-04-08T09:37:49Z,1966,79,98,1,3.9.2,0
s_p_002797_00080,p_002797,2024-04-09T09:18:36Z,2024-04-09T09:31:43Z,787,80,99,0,3.9.2,0
s_p_002797_00081,p_002797,2024-04-11T08:12:07Z,2024-04-11T08:39:38Z,1651,81,101,1,3.8.0,0
s_p_002797_00082,p_002797,2024-04-11T12:24:28Z,2024-04-11T12:44:25Z,1197,82,101,0,3.9.2,0
s_p_002797_00083,p_002797,2024-04-15T19:00:17Z,2024-04-15T19:16:46Z,989,83,105,4,3.6.0,0
s_p_002797_00084,p_002797,2024-04-19T10:45:45Z,2024-04-19T11:04:56Z,1151,84,109,3,3.8.0,0
s_p_002797_00085,p_002797,2024-04-21T06:22:24Z,2024-04-21T06:54:04Z,1900,85,111,1,3.7.1,0
s_p_002797_00086,p_002797,2024-04-23T11:03:16Z,2024-04-23T11:26:32Z,1396,86,113,2,3.7.1,0
s_p_002797_00087,p_002797,2024-04-23T16:13:58Z,2024-04-23T16:50:13Z,2175,87,113,0,3.9.2,0
s_p_002797_00088,p_002797,2024-04-24T12:57:57Z,2024-04-24T13:12:55Z,898,88,114,0,3.8.0,0
s_p_002797_00089,p_002797,2024-04-25T11:18:09Z,2024-04-25T11:50:08Z,1919,89,115,0,3.9.2,0
s_p_002797_00090,p_002797,2024-04-26T11:50:21Z,2024-04-26T12:12:16Z,1315,90,116,1,3.6.0,0
s_p_002797_00091,p_002797,2024-04-27T13:24:03Z,2024-04-27T13:59:13Z,2110,91,117,1,3.5.0,0
s_p_002797_00092,p_002797,2024-04-28T13:02:22Z,2024-04-28T13:22:38Z,1216,92,118,0,3.8.0,0
s_p_002797_00093,p_002797,2024-04-29T09:26:08Z,2024-04-29T09:40:54Z,886,93,119,0,3.5.0,0
s_p_002797_00094,p_002797,2024-04-29T09:46:05Z,2024-04-29T10:15:58Z,1793,94,119,0,3.5.0,0
s_p_002797_00095,p_002797,2024-05-03T22:28:15Z,2024-05-03T22:44:04Z,949,95,123,4,3.6.0,0
s_p_002797_00096,p_002797,2024-05-04T08:53:25Z,2024-05-04T09:25:57Z,1952,96,124,0,3.8.0,0
s_p_002797_00097,p_002797,2024-05-05T06:14:27Z,2024-05-05T06:47:45Z,1998,97,125,0,3.5.0,0
s_p_002797_00098,p_002797,2024-05-06T12:10:25Z,2024-05-06T12:37:58Z,1653,98,126,1,3.5.0,0
s_p_002797_00099,p_002797,2024-05-09T14:28:42Z,2024-05-09T15:00:36Z,1914,99,129,3,3.7.1,0
s_p_002797_00100,p_002797,2024-05-09T21:49:12Z,2024-05-09T22:02:35Z,803,100,129,0,3.5.0,0
s_p_002797_00101,p_002797,2024-05-10T18:00:22Z,2024-05-10T18:23:36Z,1394,101,130,0,3.6.0,0
s_p_002797_00102,p_002797,2024-05-11T07:30:51Z,2024-05-11T07:58:59Z,1688,102,131,0,3.6.0,0
s_p_002797_00103,p_002797,2024-05-14T16:55:41Z,2024-05-14T17:14:52Z,1151,103,134,3,3.9.2,0
s_p_002797_00104,p_002797,2024-05-15T14:53:19Z,2024-05-15T15:05:36Z,737,104,135,0,3.9.2,1
s_p_002797_00105,p_002797,2024-05-15T17:12:39Z,2024-05-15T17:43:24Z,1845,105,135,0,3.5.0,0
s_p_002797_00106,p_002797,2024-05-16T14:32:47Z,2024-05-16T15:04:36Z,1909,106,136,0,3.5.0,0
s_p_002797_00107,p_002797,2024-05-22T18:18:41Z,2024-05-22T18:54:36Z,2155,107,142,6,3.8.0,1
s_p_002797_00108,p_002797,2024-05-23T15:16:49Z,2024-05-23T15:51:17Z,2068,108,143,0,3.5.0,0
s_p_002797_00109,p_002797,2024-05-25T06:36:41Z,2024-05-25T07:12:45Z,2164,109,145,1,3.4.1,0
s_p_002797_00110,p_002797,2024-05-26T11:50:46Z,2024-05-26T12:01:59Z,673,110,146,1,3.8.0,0
s_p_002797_00111,p_002797,2024-05-27T14:55:17Z,2024-05-27T15:21:50Z,1593,111,147,1,3.6.0,0
s_p_002797_00112,p_002797,2024-05-27T20:54:39Z,2024-05-27T21:12:38Z,1079,112,147,0,3.5.0,0
s_p_002797_00113,p_002797,2024-05-28T09:56:13Z,2024-05-28T10:09:59Z,826,113,148,0,3.6.0,0
s_p_002797_00114,p_002797,2024-05-28T19:22:43Z,2024-05-28T19:55:49Z,1986,114,148,0,3.7.1,0
s_p_002797_00115,p_002797,2024-05-28T23:21:37Z,2024-05-29T00:01:29Z,2392,115,148,0,3.6.0,0
s_p_002797_00116,p_002797,2024-05-30T16:48:29Z,2024-05-30T17:07:34Z,1145,116,150,1,3.9.2,0
s_p_002797_00117,p_002797,2024-05-30T22:21:25Z,2024-05-30T22:54:22Z,1977,117,150,0,3.9.2,0
s_p_002797_00118,p_002797,2024-05-31T13:16:05Z,2024-05-31T13:40:13Z,1448,118,151,0,3.9.2,0
s_p_002797_00119,p_002797,2024-06-01T08:14:06Z,2024-06-01T08:46:48Z,1962,119,152,0,3.7.1,0
s_p_002797_00120,p_002797,2024-06-01T18:15:48Z,2024-06-01T18:30:46Z,898,120,152,0,3.4.1,0
s_p_002797_00121,p_002797,2024-06-02T10:32:28Z,2024-06-02T11:00:03Z,1655,121,153,0,3.9.2,0
s_p_002797_00122,p_002797,2024-06-05T19:05:54Z,2024-06-05T19:33:20Z,1646,122,156,3,3.7.1,0
s_p_002797_00123,p_002797,2024-06-07T13:16:40Z,2024-06-07T13:30:07Z,807,123,158,1,3.7.1,0
s_p_002797_00124,p_002797,2024-06-08T07:53:23Z,2024-06-08T08:09:10Z,947,124,159,0,3.8.0,0
s_p_002797_00125,p_002797,2024-06-08T22:47:58Z,2024-06-08T23:15:20Z,1642,125,159,0,3.9.2,0
s_p_002797_00126,p_002797,2024-06-10T13:45:40Z,2024-06-10T13:57:12Z,692,126,161,1,3.9.2,0
s_p_002797_00127,p_002797,2024-06-11T22:40:13Z,2024-06-11T22:52:59Z,766,127,162,1,3.8.0,0
s_p_002797_00128,p_002797,2024-06-12T10:34:15Z,2024-06-12T11:02:59Z,1724,128,163,0,3.8.0,0
s_p_002797_00129,p_002797,2024-06-13T12:59:51Z,2024-06-13T13:33:39Z,2028,129,164,1,3.7.1,0
s_p_002797_00130,p_002797,2024-06-14T08:58:01Z,2024-06-14T09:33:44Z,2143,130,165,0,3.9.2,0
s_p_002797_00131,p_002797,2024-06-14T11:28:57Z,2024-06-14T11:47:01Z,1084,131,165,0,3.9.2,0
s_p_002797_00132,p_002797,2024-06-15T08:59:20Z,2024-06-15T09:38:09Z,2329,132,166,0,3.8.0,0
s_p_002797_00133,p_002797,2024-06-15T09:08:19Z,2024-06-15T09:31:58Z,1419,133,166,0,3.4.1,0
s_p_002797_00134,p_002797,2024-06-15T19:39:09Z,2024-06-15T20:10:56Z,1907,134,166,0,3.7.1,0
s_p_002797_00135,p_002797,2024-06-16T09:12:01Z,2024-06-16T09:37:47Z,1546,135,167,0,3.9.2,0
s_p_002797_00136,p_002797,2024-06-16T10:07:13Z,2024-06-16T10:24:04Z,1011,136,167,0,3.7.1,0
s_p_002797_00137,p_002797,2024-06-16T16:29:31Z,2024-06-16T17:03:47Z,2056,137,167,0,3.7.1,0
s_p_002797_00138,p_002797,2024-06-17T09:19:41Z,2024-06-17T09:45:52Z,1571,138,168,0,3.9.2,0
s_p_002797_00139,p_002797,2024-06-17T17:57:09Z,2024-06-17T18:32:23Z,2114,139,168,0,3.7.1,0
s_p_002797_00140,p_002797,2024-06-18T07:56:30Z,2024-06-18T08:09:38Z,788,140,169,0,3.7.1,0
s_p_002797_00141,p_002797,2024-06-18T13:06:53Z,2024-06-18T13:38:03Z,1870,141,169,0,3.9.2,0
s_p_002797_00142,p_002797,2024-06-20T13:30:01Z,2024-06-20T13:55:48Z,1547,142,171,1,3.7.1,0
s_p_002797_00143,p_002797,2024-06-20T19:49:31Z,2024-06-20T20:08:07Z,1116,143,171,0,3.7.1,1
s_p_002797_00144,p_002797,2024-06-20T21:57:24Z,2024-06-20T22:22:42Z,1518,144,171,0,3.9.2,0
s_p_002797_00145,p_002797,2024-06-21T18:36:30Z,2024-06-21T19:11:51Z,2121,145,172,0,3.9.2,1
s_p_002797_00146,p_002797,2024-06-22T10:55:28Z,2024-06-22T11:26:38Z,1870,146,173,0,3.9.2,0
s_p_002797_00147,p_002797,2024-06-26T10:03:35Z,2024-06-26T10:13:41Z,606,147,177,3,3.5.0,0
s_p_002797_00148,p_002797,2024-06-27T10:19:06Z,2024-06-27T10:34:33Z,927,148,178,1,3.7.1,0
s_p_002797_00149,p_002797,2024-06-27T17:46:41Z,2024-06-27T18:24:35Z,2274,149,178,0,3.9.2,0
s_p_002797_00150,p_002797,2024-06-28T18:04:48Z,2024-06-28T18:41:58Z,2230,150,179,0,3.8.0,0
s_p_002797_00151,p_002797,2024-06-30T08:40:54Z,2024-06-30T09:20:09Z,2355,151,181,1,3.9.2,0
s_p_002797_00152,p_002797,2024-06-30T15:53:59Z,2024-06-30T16:16:08Z,1329,152,181,0,3.5.0,0
s_p_002797_00153,p_002797,2024-06-30T19:26:15Z,2024-06-30T19:52:50Z,1595,153,181,0,3.9.2,0
s_p_002797_00154,p_002797,2024-07-01T09:30:12Z,2024-07-01T09:40:41Z,629,154,182,0,3.8.0,0
s_p_002797_00155,p_002797,2024-07-02T06:17:50Z,2024-07-02T06:52:06Z,2056,155,183,0,3.5.0,0
s_p_002797_00156,p_002797,2024-07-02T06:33:37Z,2024-07-02T06:52:17Z,1120,156,183,0,3.7.1,0
s_p_002797_00157,p_002797,2024-07-02T16:42:26Z,2024-07-02T17:22:25Z,2399,157,183,0,3.6.0,0
s_p_002797_00158,p_002797,2024-07-04T17:33:09Z,2024-07-04T18:03:24Z,1815,158,185,2,3.4.1,0
s_p_002797_00159,p_002797,2024-07-05T11:08:55Z,2024-07-05T11:33:48Z,1493,159,186,0,3.9.2,0
s_p_002797_00160,p_002797,2024-07-05T23:22:48Z,2024-07-05T23:48:15Z,1527,160,186,0,3.5.0,0
s_p_002797_00161,p_002797,2024-07-06T11:10:09Z,2024-07-06T11:24:44Z,875,161,187,0,3.9.2,0
s_p_002797_00162,p_002797,2024-07-07T06:12:40Z,2024-07-07T06:28:11Z,931,162,188,0,3.8.0,0
s_p_002797_00163,p_002797,2024-07-09T17:26:39Z,2024-07-09T18:05:43Z,2344,163,190,2,3.6.0,0
s_p_002797_00164,p_002797,2024-07-10T17:27:45Z,2024-07-10T18:02:47Z,2102,164,191,0,3.6.0,0
s_p_002797_00165,p_002797,2024-07-13T06:37:05Z,2024-07-13T06:56:11Z,1146,165,194,2,3.8.0,0
s_p_002797_00166,p_002797,2024-07-13T15:26:24Z,2024-07-13T15:47:38Z,1274,166,194,0,3.7.1,0
s_p_002797_00167,p_002797,2024-07-14T20:11:30Z,2024-07-14T20:29:31Z,1081,167,195,1,3.9.2,0
s_p_002797_00168,p_002797,2024-07-15T13:58:46Z,2024-07-15T14:18:46Z,1200,168,196,0,3.9.2,0
s_p_002797_00169,p_002797,2024-07-17T09:54:51Z,2024-07-17T10:07:09Z,738,169,198,1,3.9.2,0
s_p_002797_00170,p_002797,2024-07-17T14:43:43Z,2024-07-17T15:04:50Z,1267,170,198,0,3.7.1,0
s_p_002797_00171,p_002797,2024-07-17T16:49:59Z,2024-07-17T17:01:13Z,674,171,198,0,3.6.0,0
s_p_002797_00172,p_002797,2024-07-18T08:36:21Z,2024-07-18T09:11:43Z,2122,172,199,0,3.9.2,0
s_p_002797_00173,p_002797,2024-07-19T06:03:40Z,2024-07-19T06:24:45Z,1265,173,200,0,3.5.0,0
s_p_002797_00174,p_002797,2024-07-22T08:40:17Z,2024-07-22T09:18:02Z,2265,174,203,3,3.7.1,0
s_p_002797_00175,p_002797,2024-07-22T22:22:33Z,2024-07-22T22:58:09Z,2136,175,203,0,3.5.0,0
s_p_002797_00176,p_002797,2024-07-24T12:26:47Z,2024-07-24T13:01:19Z,2072,176,205,1,3.7.1,0
s_p_002797_00177,p_002797,2024-07-24T13:00:24Z,2024-07-24T13:39:35Z,2351,177,205,0,3.8.0,0
s_p_002797_00178,p_002797,2024-07-25T17:15:07Z,2024-07-25T17:32:47Z,1060,178,206,1,3.9.2,0
s_p_002797_00179,p_002797,2024-07-27T15:23:52Z,2024-07-27T15:53:12Z,1760,179,208,1,3.7.1,0
s_p_002797_00180,p_002797,2024-07-28T07:31:01Z,2024-07-28T07:52:46Z,1305,180,209,0,3.6.0,0
s_p_002797_00181,p_002797,2024-07-28T11:03:26Z,2024-07-28T11:14:55Z,689,181,209,0,3.7.1,0
s_p_002797_00182,p_002797,2024-07-28T11:28:45Z,2024-07-28T11:52:52Z,1447,182,209,0,3.8.0,0
s_p_002797_00183,p_002797,2024-07-29T20:17:56Z,2024-07-29T20:54:28Z,2192,183,210,1,3.5.0,0
s_p_002797_00184,p_002797,2024-08-02T14:26:05Z,2024-08-02T14:49:28Z,1403,184,214,3,3.8.0,0
s_p_002797_00185,p_002797,2024-08-03T14:48:40Z,2024-08-03T15:15:38Z,1618,185,215,0,3.9.2,0
s_p_002797_00186,p_002797,2024-08-04T20:52:00Z,2024-08-04T21:14:24Z,1344,186,216,1,3.9.2,0
s_p_002797_00187,p_002797,2024-08-07T13:59:21Z,2024-08-07T14:29:13Z,1792,187,219,2,3.7.1,1
s_p_002797_00188,p_002797,2024-08-07T14:23:03Z,2024-08-07T14:42:43Z,1180,188,219,0,3.4.1,0
s_p_002797_00189,p_002797,2024-08-07T20:41:39Z,2024-08-07T21:02:34Z,1255,189,219,0,3.6.0,0
s_p_002797_00190,p_002797,2024-08-07T23:25:10Z,2024-08-07T23:59:57Z,2087,190,219,0,3.8.0,0
s_p_002797_00191,p_002797,2024-08-08T09:19:37Z,2024-08-08T09:30:13Z,636,191,220,0,3.5.0,0
s_p_002797_00192,p_002797,2024-08-09T13:00:44Z,2024-08-09T13:27:05Z,1581,192,221,1,3.8.0,0
s_p_002797_00193,p_002797,2024-08-09T15:32:13Z,2024-08-09T15:57:45Z,1532,193,221,0,3.8.0,0
s_p_002797_00194,p_002797,2024-08-09T19:49:23Z,2024-08-09T20:28:50Z,2367,194,221,0,3.7.1,0
s_p_002797_00195,p_002797,2024-08-10T14:07:06Z,2024-08-10T14:22:29Z,923,195,222,0,3.8.0,0
s_p_002797_00196,p_002797,2024-08-15T17:39:38Z,2024-08-15T18:12:19Z,1961,196,227,5,3.7.1,0
s_p_002797_00197,p_002797,2024-08-18T22:23:06Z,2024-08-18T22:59:34Z,2188,197,230,3,3.7.1,0
s_p_002797_00198,p_002797,2024-08-19T06:19:45Z,2024-08-19T06:46:42Z,1617,198,231,0,3.9.2,0
s_p_002797_00199,p_002797,2024-08-19T22:35:10Z,2024-08-19T22:49:26Z,856,199,231,0,3.8.0,0
s_p_002797_00200,p_002797,2024-08-19T22:53:31Z,2024-08-19T23:26:04Z,1953,200,231,0,3.8.0,0
s_p_002797_00201,p_002797,2024-08-20T08:18:24Z,2024-08-20T08:54:20Z,2156,201,232,0,3.9.2,0
s_p_002797_00202,p_002797,2024-08-21T16:57:08Z,2024-08-21T17:17:24Z,1216,202,233,1,3.7.1,0
s_p_002797_00203,p_002797,2024-08-22T08:27:33Z,2024-08-22T08:42:10Z,877,203,234,0,3.9.2,0
s_p_002797_00204,p_002797,2024-08-23T10:02:50Z,2024-08-23T10:18:00Z,910,204,235,1,3.7.1,0
s_p_002797_00205,p_002797,2024-08-26T11:31:16Z,2024-08-26T12:10:50Z,2374,205,238,3,3.9.2,0
s_p_002797_00206,p_002797,2024-08-26T12:26:26Z,2024-08-26T12:52:33Z,1567,206,238,0,3.8.0,0
s_p_002797_00207,p_002797,2024-08-28T22:26:45Z,2024-08-28T22:44:35Z,1070,207,240,2,3.6.0,0
s_p_002797_00208,p_002797,2024-08-31T17:08:40Z,2024-08-31T17:19:36Z,656,208,243,2,3.9.2,0
s_p_002797_00209,p_002797,2024-09-02T06:23:45Z,2024-09-02T06:51:19Z,1654,209,245,1,3.6.0,0
s_p_002797_00210,p_002797,2024-09-02T08:47:46Z,2024-09-02T09:22:53Z,2107,210,245,0,3.5.0,0
s_p_002797_00211,p_002797,2024-09-05T23:18:00Z,2024-09-05T23:51:35Z,2015,211,248,3,3.8.0,0
s_p_002797_00212,p_002797,2024-09-14T20:02:32Z,2024-09-14T20:16:42Z,850,212,257,8,3.9.2,0
s_p_002797_00213,p_002797,2024-09-18T07:05:07Z,2024-09-18T07:41:26Z,2179,213,261,3,3.5.0,0
s_p_002797_00214,p_002797,2024-09-18T11:19:58Z,2024-09-18T11:37:42Z,1064,214,261,0,3.7.1,0
s_p_002797_00215,p_002797,2024-09-20T14:36:19Z,2024-09-20T15:03:44Z,1645,215,263,2,3.7.1,0
s_p_000211_00001,p_000211,2024-01-02T14:01:30Z,2024-01-02T14:02:32Z,62,1,1,,3.9.2,0
s_p_000211_00002,p_000211,2024-01-03T06:56:48Z,2024-01-03T06:59:56Z,188,2,2,0,3.7.1,0
s_p_001496_00001,p_001496,2024-01-01T06:43:12Z,2024-01-01T06:51:06Z,474,1,0,,3.8.0,0
s_p_001496_00002,p_001496,2024-01-06T18:39:02Z,2024-01-06T18:42:54Z,232,2,5,5,3.8.0,0
s_p_001496_00003,p_001496,2024-01-16T16:24:02Z,2024-01-16T16:27:48Z,226,3,15,9,3.6.0,0
s_p_000294_00001,p_000294,2024-01-02T14:04:05Z,2024-01-02T14:08:05Z,240,1,1,,3.7.1,0
s_p_001920_00001,p_001920,2024-01-05T17:36:52Z,2024-01-05T17:56:44Z,1192,1,4,,3.6.0,0
s_p_001920_00002,p_001920,2024-01-06T19:16:10Z,2024-01-06T19:29:15Z,785,2,5,1,3.8.0,0
s_p_001920_00003,p_001920,2024-01-06T23:14:46Z,2024-01-06T23:22:53Z,487,3,5,0,3.9.2,0
s_p_001920_00004,p_001920,2024-01-07T06:46:23Z,2024-01-07T06:52:26Z,363,4,6,0,3.9.2,0
