purchase_id,player_id,session_id,purchase_timestamp,product_sku,price_usd,coins_granted,days_since_install,is_first_purchase
pu_000002k,p_002770,s_p_002770_00094,2024-07-18T06:22:37.312Z,vip_monthly,9.99,10000,109,0
pu_000002l,p_002770,s_p_002770_00099,2024-07-22T12:06:37.210Z,coins_large,19.99,25000,113,0
pu_000002m,p_002770,s_p_002770_00100,2024-07-22T16:44:53.358Z,coins_large,19.99,25000,113,0
pu_000002n,p_002770,s_p_002770_00101,2024-07-23T23:15:08.112Z,coins_medium,4.99,5500,114,0
pu_000002o,p_002770,s_p_002770_00115,2024-08-12T15:18:36.878Z,coins_large,19.99,25000,134,0
pu_000002p,p_002770,s_p_002770_00118,2024-08-15T10:25:43.992Z,vip_monthly,9.99,10000,137,0
pu_000002q,p_002770,s_p_002770_00125,2024-08-25T10:12:29.018Z,coins_medium,4.99,5500,147,0
pu_000002r,p_002770,s_p_002770_00127,2024-08-27T08:38:34.211Z,coins_large,19.99,25000,149,0
pu_000002s,p_002770,s_p_002770_00129,2024-09-04T15:31:10.623Z,coins_small,0.99,1000,157,0
pu_000002t,p_002770,s_p_002770_00130,2024-09-05T21:51:47.720Z,coins_large,19.99,25000,158,0
pu_000002u,p_002770,s_p_002770_00134,2024-09-19T19:39:55.762Z,coins_large,19.99,25000,172,0
pu_000002v,p_002770,s_p_002770_00137,2024-09-26T16:12:02.876Z,coins_medium,4.99,5500,179,0
pu_000002w,p_002770,s_p_002770_00137,2024-09-26T16:02:12.930Z,coins_large,19.99,25000,179,0
pu_000002x,p_002770,s_p_002770_00143,2024-09-30T07:09:07.032Z,coins_medium,4.99,5500,183,0
pu_000002y,p_002770,s_p_002770_00149,2024-10-08T14:40:27.081Z,coins_small,0.99,1000,191,0
pu_000002z,p_002770,s_p_002770_00151,2024-10-12T11:23:39.746Z,coins_large,19.99,25000,195,0
pu_0000030,p_002770,s_p_002770_00156,2024-10-20T11:16:24.776Z,coins_small,0.99,1000,203,0
pu_0000031,p_002770,s_p_002770_00158,2024-10-21T10:27:33.324Z,coins_large,19.99,25000,204,0
pu_0000032,p_002770,s_p_002770_00160,2024-10-22T10:24:30.562Z,coins_medium,4.99,5500,205,0
pu_0000033,p_002770,s_p_002770_00170,2024-10-31T11:18:41.660Z,vip_monthly,9.99,10000,214,0
pu_0000034,p_002770,s_p_002770_00172,2024-11-01T12:24:06.313Z,vip_monthly,9.99,10000,215,0
pu_0000035,p_002770,s_p_002770_00174,2024-11-05T19:23:55.255Z,vip_monthly,9.99,10000,219,0
pu_0000036,p_002770,s_p_002770_00179,2024-11-11T10:49:34.698Z,coins_medium,4.99,5500,225,0
pu_0000037,p_002770,s_p_002770_00180,2024-11-11T19:34:38.347Z,coins_large,19.99,25000,225,0
pu_0000038,p_002770,s_p_002770_00180,2024-11-11T19:40:54.464Z,coins_large,19.99,25000,225,0
pu_0000039,p_002770,s_p_002770_00182,2024-11-14T11:04:35.215Z,coins_medium,4.99,5500,228,0
pu_000003a,p_002770,s_p_002770_00182,2024-11-14T11:03:11.348Z,coins_medium,4.99,5500,228,0
pu_000003b,p_002770,s_p_002770_00186,2024-11-15T17:49:31.826Z,coins_small,0.99,1000,229,0
pu_000003c,p_002770,s_p_002770_00187,2024-11-15T21:09:51.692Z,coins_medium,4.99,5500,229,0
pu_000003d,p_002770,s_p_002770_00187,2024-11-15T21:02:16.943Z,coins_small,0.99,1000,229,0
pu_000003e,p_002770,s_p_002770_00190,2024-11-22T12:25:35.094Z,vip_monthly,9.99,10000,236,0
pu_000003f,p_002770,s_p_002770_00198,2024-11-29T10:22:08.644Z,coins_medium,4.99,5500,243,0
pu_000003g,p_002770,s_p_002770_00201,2024-12-11T23:09:34.239Z,coins_medium,4.99,5500,255,0
pu_000003h,p_002770,s_p_002770_00202,2024-12-16T13:57:21.475Z,coins_medium,4.99,5500,260,0
pu_000003i,p_002756,s_p_002756_00001,2024-01-24T14:56:06.472Z,coins_small,0.99,1000,0,1
pu_000003j,p_002756,s_p_002756_00001,2024-01-24T14:51:22.303Z,coins_large,19.99,25000,0,0
pu_000003k,p_002756,s_p_002756_00001,2024-01-24T14:51:57.085Z,vip_monthly,9.99,10000,0,0
pu_000003l,p_002756,s_p_002756_00002,2024-01-25T09:19:02.915Z,vip_monthly,9.99,10000,1,0
pu_000003m,p_002756,s_p_002756_00003,2024-01-25T21:42:47.286Z,coins_small,0.99,1000,1,0
pu_000003n,p_002756,s_p_002756_00003,2024-01-25T21:32:06.542Z,vip_monthly,9.99,10000,1,0
pu_000003o,p_002756,s_p_002756_00003,2024-01-25T21:34:40.437Z,coins_small,0.99,1000,1,0
pu_000003p,p_002756,s_p_002756_00003,2024-01-25T21:39:41.309Z,coins_medium,4.99,5500,1,0
pu_000003q,p_002756,s_p_002756_00003,2024-01-25T21:35:17.010Z,vip_monthly,9.99,10000,1,0
pu_000003r,p_002756,s_p_002756_00004,2024-01-28T12:42:59.095Z,coins_large,19.99,25000,4,0
pu_000003s,p_002756,s_p_002756_00004,2024-01-28T12:51:05.993Z,coins_medium,4.99,5500,4,0
pu_000003t,p_002756,s_p_002756_00004,2024-01-28T12:35:22.646Z,vip_monthly,9.99,10000,4,0
pu_000003u,p_002756,s_p_002756_00005,2024-01-28T14:37:34.435Z,coins_large,19.99,25000,4,0
pu_000003v,p_002756,s_p_002756_00006,2024-02-02T07:21:32.330Z,vip_monthly,9.99,10000,9,0
pu_000003w,p_002756,s_p_002756_00013,2024-02-06T22:40:13.864Z,coins_large,19.99,25000,13,0
pu_000003x,p_002756,s_p_002756_00020,2024-02-13T22:45:08.319Z,coins_large,19.99,25000,20,0
pu_000003y,p_002756,s_p_002756_00022,2024-02-17T18:46:19.460Z,vip_monthly,9.99,10000,24,0
pu_000003z,p_002756,s_p_002756_00031,2024-03-01T20:44:37.963Z,coins_large,19.99,25000,37,0
pu_0000040,p_002756,s_p_002756_00037,2024-03-05T20:26:57.271Z,coins_medium,4.99,5500,41,0
pu_0000041,p_002756,s_p_002756_00050,2024-03-21T17:50:50.426Z,coins_small,0.99,1000,57,0
pu_0000042,p_002756,s_p_002756_00050,2024-03-21T17:48:29.810Z,vip_monthly,9.99,10000,57,0
pu_0000043,p_002756,s_p_002756_00052,2024-03-24T21:10:18.445Z,coins_large,19.99,25000,60,0
pu_0000044,p_002756,s_p_002756_00054,2024-03-26T07:36:40.336Z,coins_large,19.99,25000,62,0
pu_0000045,p_002756,s_p_002756_00055,2024-03-26T11:47:30.412Z,coins_small,0.99,1000,62,0
pu_0000046,p_002756,s_p_002756_00055,2024-03-26T11:55:47.416Z,coins_medium,4.99,5500,62,0
pu_0000047,p_002756,s_p_002756_00059,2024-03-31T12:01:24.141Z,coins_large,19.99,25000,67,0
pu_0000048,p_002756,s_p_002756_00060,2024-04-01T16:14:06.231Z,coins_large,19.99,25000,68,0
pu_0000049,p_002756,s_p_002756_00065,2024-04-06T09:46:47.071Z,coins_large,19.99,25000,73,0
pu_000004a,p_002756,s_p_002756_00066,2024-04-06T11:29:53.090Z,coins_large,19.99,25000,73,0
pu_000004b,p_002756,s_p_002756_00072,2024-04-15T11:21:13.147Z,coins_large,19.99,25000,82,0
pu_000004c,p_002756,s_p_002756_00075,2024-04-19T14:13:08.927Z,coins_small,0.99,1000,86,0
pu_000004d,p_002756,s_p_002756_00077,2024-04-20T23:05:24.996Z,coins_medium,4.99,5500,87,0
pu_000004e,p_002756,s_p_002756_00079,2024-04-22T23:32:18.673Z,coins_small,0.99,1000,89,0
pu_000004f,p_002756,s_p_002756_00095,2024-05-13T10:21:15.677Z,coins_large,19.99,25000,110,0
pu_000004g,p_002756,s_p_002756_00097,2024-05-14T13:26:05.985Z,coins_large,19.99,25000,111,0
pu_000004h,p_002756,s_p_002756_00100,2024-05-19T18:52:37.034Z,coins_large,19.99,25000,116,0
pu_000004i,p_002756,s_p_002756_00110,2024-06-03T09:12:48.627Z,coins_medium,4.99,5500,131,0
pu_000004j,p_002756,s_p_002756_00113,2024-06-04T22:23:40.799Z,vip_monthly,9.99,10000,132,0
pu_000004k,p_002756,s_p_002756_00117,2024-06-10T09:15:45.552Z,coins_medium,4.99,5500,138,0
pu_000004l,p_002756,s_p_002756_00121,2024-06-11T23:30:36.663Z,coins_small,0.99,1000,139,0
pu_000004m,p_002756,s_p_002756_00124,2024-06-19T14:03:35.756Z,coins_large,19.99,25000,147,0
pu_000004n,p_002756,s_p_002756_00125,2024-06-20T08:17:24.672Z,vip_monthly,9.99,10000,148,0
pu_000004o,p_002756,s_p_002756_00126,2024-06-21T08:24:54.003Z,coins_large,19.99,25000,149,0
pu_000004p,p_002756,s_p_002756_00127,2024-06-21T13:08:14.184Z,vip_monthly,9.99,10000,149,0
pu_000004q,p_002756,s_p_002756_00129,2024-06-25T14:48:12.017Z,coins_small,0.99,1000,153,0
pu_000004r,p_002756,s_p_002756_00131,2024-06-28T20:25:21.678Z,coins_large,19.99,25000,156,0
pu_000004s,p_002756,s_p_002756_00131,2024-06-28T20:32:21.411Z,coins_small,0.99,1000,156,0
pu_000004t,p_002756,s_p_002756_00133,2024-07-02T18:17:20.719Z,coins_medium,4.99,5500,160,0
pu_000004u,p_002756,s_p_002756_00134,2024-07-02T19:51:56.934Z,coins_large,19.99,25000,160,0
pu_000004v,p_002756,s_p_002756_00134,2024-07-02T19:57:52.280Z,coins_large,19.99,25000,160,0
pu_000004w,p_002756,s_p_002756_00143,2024-07-15T06:31:06.520Z,coins_medium,4.99,5500,173,0
pu_000004x,p_002756,s_p_002756_00148,2024-07-22T13:11:44.674Z,coins_large,19.99,25000,180,0
pu_000004y,p_002756,s_p_002756_00149,2024-07-23T11:05:21.275Z,coins_large,19.99,25000,181,0
pu_000004z,p_002756,s_p_002756_00154,2024-07-27T06:23:03.503Z,vip_monthly,9.99,10000,185,0
pu_0000050,p_002756,s_p_002756_00157,2024-07-30T22:59:38.106Z,vip_monthly,9.99,10000,188,0
pu_0000051,p_002756,s_p_002756_00159,2024-08-04T11:06:31.824Z,coins_large,19.99,25000,193,0
pu_0000052,p_002756,s_p_002756_00162,2024-08-06T20:24:28.318Z,vip_monthly,9.99,10000,195,0
pu_0000053,p_002756,s_p_002756_00167,2024-08-11T19:00:16.528Z,starter_pack,1.99,2000,200,0
pu_0000054,p_002756,s_p_002756_00167,2024-08-11T18:33:47.015Z,coins_medium,4.99,5500,200,0
pu_0000055,p_002756,s_p_002756_00175,2024-08-17T16:28:17.458Z,coins_small,0.99,1000,206,0
pu_0000056,p_002756,s_p_002756_00183,2024-08-26T11:30:31.165Z,coins_large,19.99,25000,215,0
pu_0000057,p_002756,s_p_002756_00187,2024-08-28T13:27:04.544Z,vip_monthly,9.99,10000,217,0
pu_0000058,p_002756,s_p_002756_00187,2024-08-28T13:20:52.897Z,coins_medium,4.99,5500,217,0
pu_0000059,p_002756,s_p_002756_00190,2024-09-02T14:16:50.600Z,coins_large,19.99,25000,222,0
pu_000005a,p_002756,s_p_002756_00190,2024-09-02T14:07:36.950Z,coins_large,19.99,25000,222,0
pu_000005b,p_002756,s_p_002756_00193,2024-09-10T22:15:04.756Z,vip_monthly,9.99,10000,230,0
pu_000005c,p_002756,s_p_002756_00195,2024-09-16T20:50:10.504Z,coins_large,19.99,25000,236,0
pu_000005d,p_002756,s_p_002756_00195,2024-09-16T21:01:13.365Z,coins_large,19.99,25000,236,0
pu_000005e,p_002756,s_p_002756_00201,2024-09-21T15:55:16.798Z,coins_large,19.99,25000,241,0
pu_000005f,p_002756,s_p_002756_00204,2024-09-28T08:54:48.062Z,coins_medium,4.99,5500,248,0
pu_000005g,p_002756,s_p_002756_00208,2024-10-05T22:32:37.703Z,coins_medium,4.99,5500,255,0
pu_000005h,p_002860,s_p_002860_00006,2024-09-18T16:59:53.681Z,starter_pack,1.99,2000,53,1
pu_000005i,p_002860,s_p_002860_00006,2024-09-18T17:12:04.379Z,coins_medium,4.99,5500,53,0
pu_000005j,p_002860,s_p_002860_00009,2024-09-24T09:08:48.101Z,coins_small,0.99,1000,59,0
pu_000005k,p_002856,s_p_002856_00005,2024-03-09T16:37:20.360Z,starter_pack,1.99,2000,26,1
pu_000005l,p_002856,s_p_002856_00010,2024-04-27T15:15:55.088Z,coins_medium,4.99,5500,75,0
pu_000005m,p_002856,s_p_002856_00011,2024-05-02T18:53:50.655Z,coins_small,0.99,1000,80,0
pu_000005n,p_002856,s_p_002856_00011,2024-05-02T18:56:54.941Z,coins_small,0.99,1000,80,0
pu_000005o,p_002856,s_p_002856_00012,2024-05-07T22:12:14.775Z,vip_monthly,9.99,10000,85,0
pu_000005p,p_002856,s_p_002856_00013,2024-05-12T15:19:50.768Z,coins_small,0.99,1000,90,0
pu_000005q,p_002856,s_p_002856_00017,2024-05-26T16:04:53.911Z,starter_pack,1.99,2000,104,0
pu_000005r,p_002856,s_p_002856_00018,2024-06-02T07:09:40.378Z,starter_pack,1.99,2000,111,0
pu_000005s,p_002856,s_p_002856_00020,2024-06-14T21:36:20.813Z,coins_medium,4.99,5500,123,0
pu_000005t,p_002856,s_p_002856_00026,2024-07-19T10:18:19.335Z,coins_medium,4.99,5500,158,0
pu_000005u,p_002856,s_p_002856_00026,2024-07-19T10:24:09.238Z,starter_pack,1.99,2000,158,0
pu_000005v,p_002856,s_p_002856_00029,2024-08-27T18:34:23.182Z,coins_small,0.99,1000,197,0
pu_000005w,p_001492,s_p_001492_00001,2024-11-24T08:26:25.147Z,coins_small,0.99,1000,5,1
pu_000005x,p_002803,s_p_002803_00001,2024-02-10T07:43:49.362Z,starter_pack,1.99,2000,4,1
pu_000005y,p_002803,s_p_002803_00001,2024-02-10T07:39:46.761Z,coins_small,0.99,1000,4,0
pu_000005z,p_002803,s_p_002803_00002,2024-02-12T17:52:08.231Z,coins_large,19.99,25000,6,0
pu_0000060,p_002803,s_p_002803_00003,2024-02-13T21:28:36.690Z,coins_small,0.99,1000,7,0
pu_0000061,p_002803,s_p_002803_00005,2024-02-17T16:25:44.236Z,coins_medium,4.99,5500,11,0
pu_0000062,p_002803,s_p_002803_00005,2024-02-17T16:18:27.688Z,coins_medium,4.99,5500,11,0
pu_0000063,p_002803,s_p_002803_00006,2024-02-18T06:42:23.121Z,coins_large,19.99,25000,12,0
pu_0000064,p_002803,s_p_002803_00013,2024-02-23T09:02:14.724Z,coins_small,0.99,1000,17,0
pu_0000065,p_002803,s_p_002803_00013,2024-02-23T08:57:13.140Z,coins_small,0.99,1000,17,0
pu_0000066,p_002803,s_p_002803_00013,2024-02-23T09:08:33.037Z,vip_monthly,9.99,10000,17,0
pu_0000067,p_002803,s_p_002803_00023,2024-03-07T08:17:55.706Z,coins_large,19.99,25000,30,0
pu_0000068,p_002803,s_p_002803_00024,2024-03-08T14:11:30.987Z,coins_medium,4.99,5500,31,0
pu_0000069,p_002803,s_p_002803_00029,2024-03-12T20:23:13.135Z,coins_large,19.99,25000,35,0
pu_000006a,p_002803,s_p_002803_00036,2024-03-21T06:20:05.300Z,coins_medium,4.99,5500,44,0
pu_000006b,p_002803,s_p_002803_00041,2024-03-25T07:26:57.686Z,coins_large,19.99,25000,48,0
pu_000006c,p_002803,s_p_002803_00046,2024-04-14T22:16:20.083Z,coins_large,19.99,25000,68,0
pu_000006d,p_002803,s_p_002803_00060,2024-04-30T23:00:06.131Z,coins_small,0.99,1000,84,0
pu_000006e,p_002803,s_p_002803_00061,2024-05-04T14:01:13.648Z,coins_small,0.99,1000,88,0
pu_000006f,p_002803,s_p_002803_00064,2024-05-06T10:03:54.026Z,vip_monthly,9.99,10000,90,0
pu_000006g,p_002803,s_p_002803_00065,2024-05-06T18:07:55.251Z,coins_medium,4.99,5500,90,0
pu_000006h,p_002803,s_p_002803_00072,2024-05-14T22:26:32.202Z,coins_medium,4.99,5500,98,0
pu_000006i,p_002803,s_p_002803_00091,2024-05-31T21:48:20.101Z,coins_large,19.99,25000,115,0
pu_000006j,p_002803,s_p_002803_00092,2024-06-02T06:37:21.761Z,coins_medium,4.99,5500,117,0
pu_000006k,p_002803,s_p_002803_00094,2024-06-05T15:50:43.660Z,coins_medium,4.99,5500,120,0
pu_000006l,p_002803,s_p_002803_00094,2024-06-05T15:45:12.042Z,coins_large,19.99,25000,120,0
pu_000006m,p_002803,s_p_002803_00097,2024-06-06T21:38:15.126Z,coins_medium,4.99,5500,121,0
pu_000006n,p_002803,s_p_002803_00098,2024-06-07T19:36:46.141Z,coins_large,19.99,25000,122,0
pu_000006o,p_002803,s_p_002803_00103,2024-06-10T16:50:37.329Z,coins_medium,4.99,5500,125,0
pu_000006p,p_002803,s_p_002803_00104,2024-06-11T20:19:55.284Z,coins_small,0.99,1000,126,0
pu_000006q,p_002803,s_p_002803_00112,2024-06-19T22:36:05.863Z,coins_small,0.99,1000,134,0
pu_000006r,p_002803,s_p_002803_00121,2024-06-27T21:07:42.166Z,coins_medium,4.99,5500,142,0
pu_000006s,p_002803,s_p_002803_00129,2024-07-06T23:05:33.127Z,starter_pack,1.99,2000,151,0
pu_000006t,p_002803,s_p_002803_00131,2024-07-10T08:34:15.500Z,coins_medium,4.99,5500,155,0
pu_000006u,p_002803,s_p_002803_00152,2024-07-29T22:16:51.729Z,coins_large,19.99,25000,174,0
pu_000006v,p_002803,s_p_002803_00156,2024-07-31T21:38:44.019Z,coins_medium,4.99,5500,176,0
pu_000006w,p_002803,s_p_002803_00180,2024-08-21T19:10:27.047Z,vip_monthly,9.99,10000,197,0
